Fabricante;Modelo;Categoria;Cód.;Combustivel;2026;2025;2024;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002
AUDI;AUDI A5 CABRIO 2.0TFSI;TABELA A – CARROS;106164,00;G;;;;;;;;;;;;;;R$ 159.570,00;R$ 154.232,00;;;;;;;;;;
AUDI;AUDI S5 SPB 3.0TFSI;TABELA A – CARROS;106165,00;G;;;;;;;;;;;;;R$ 244.825,00;R$ 236.495,00;R$ 214.684,00;;;;;;;;;;
AUDI;AUDI R8 5.2 V10 GT SPD;TABELA A – CARROS;106166,00;G;;;;;;;;;;;;;;R$ 874.286,00;R$ 816.031,00;;;;;;;;;;
AUDI;AUDI A7 PRESTIGE;TABELA A – CARROS;106167,00;G;;;;;;;;;;;;;;;R$ 166.621,00;R$ 146.764,00;;;;;;;;;
AUDI;AUDI A5 SPB 2.0TFSI AT;TABELA A – CARROS;106168,00;G;;;;;;;;;;;;;R$ 126.142,00;R$ 112.098,00;R$ 106.872,00;;;;;;;;;;
AUDI;AUDI S4 3.0T;TABELA A – CARROS;106180,00;G;;;;;;;;;;;;;;;R$ 230.579,00;;;;;;;;;;
AUDI;AUDI A4 AV 2.0TFSI;TABELA A – CARROS;106170,00;G;;;;;;;;;;;R$ 154.248,00;R$ 124.344,00;R$ 92.388,00;R$ 82.430,00;R$ 72.978,00;;;;;;;;;;
AUDI;AUDI S5 4.2 FSI;TABELA A – CARROS;106120,00;G;;;;;;;;;;;;;;;;;;R$ 111.240,00;;;;;;;
AUDI;AUDI S4 3.0TFSI;TABELA A – CARROS;106172,00;G;;;;;;;;;;;;;R$ 242.742,00;R$ 234.468,00;R$ 230.579,00;;;;;;;;;;
AUDI;AUDI A4 2.0TFSI SPO;TABELA A – CARROS;106173,00;G;;;;;;;;;;;;;;R$ 82.481,00;R$ 79.879,00;;;;;;;;;;
AUDI;AUDI A4 AV 2.0TFSI SPO;TABELA A – CARROS;106174,00;G;;;;;;;;;;;;;;R$ 86.667,00;R$ 76.789,00;;;;;;;;;;
AUDI;AUDI A1 SPB 1.4TFSI;TABELA A – CARROS;106175,00;G;;;;;;;;;;;;R$ 74.921,00;R$ 68.771,00;R$ 62.824,00;R$ 62.237,00;;;;;;;;;;
