Categoria;Fabricante;Cod.;Modelo;Combustivel;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002
TABELA A - AUTOMOVEIS;AUDI;106133;AUDI R8 5.2 V10 FSI;G;;;; R$ 570.624,00 ; R$ 535.081,00 ; R$ 495.241,00 ; R$ 445.524,00 ; R$ 392.570,00 ;;;;;;;
TABELA A - AUTOMOVEIS;AUDI;106125;AUDI TTS CP 2.0T 272CV;G;;;; R$ 191.112,00 ; R$ 163.656,00 ; R$ 137.690,00 ; R$ 127.913,00 ; R$ 126.144,00 ;;;;;;;
TABELA A - AUTOMOVEIS;AUDI;106135;AUDI A5 SPB 2.0TFSI;G;; R$ 138.577,00 ; R$ 126.666,00 ; R$ 110.757,00 ; R$ 105.257,00 ; R$ 84.938,00 ; R$ 80.691,00 ;;;;;;;;
TABELA A - AUTOMOVEIS;AUDI;106143;AUDI S4 SEDAN;G;;;;; R$ 194.305,00 ; R$ 181.911,00 ; R$ 170.307,00 ;;;;;;;;
TABELA A - AUTOMOVEIS;AUDI;106137;AUDI RS6 AV 5.0TFSI;G;;;;;;; R$ 344.310,00 ; R$ 338.006,00 ;;;;;;;
TABELA A - AUTOMOVEIS;AUDI;106138;AUDI RS6 5.0TFSI;G;;;;;;; R$ 314.137,00 ; R$ 299.999,00 ;;;;;;;
TABELA A - AUTOMOVEIS;AUDI;106139;AUDI S4;G;;;;;;; R$ 107.689,00 ;;;;;;;;
TABELA A - AUTOMOVEIS;AUDI;106140;AUDI A5 PREMIUM;G;;;;;;; R$ 94.838,00 ; R$ 90.797,00 ;;;;;;;
TABELA A - AUTOMOVEIS;AUDI;106141;AUDI R8 COUPE;G;;;;;;; R$ 384.506,00 ;;;;;;;;
TABELA A - AUTOMOVEIS;AUDI;106142;AUDI RS5 4.2FSI;G;; R$ 365.869,00 ; R$ 341.758,00 ; R$ 297.582,00 ; R$ 291.060,00 ; R$ 230.203,00 ; R$ 222.270,00 ;;;;;;;;
TABELA A - AUTOMOVEIS;AUDI;106134;AUDI TTS COUPE;G;;;;;; R$ 137.690,00 ;; R$ 126.144,00 ;;;;;;;
TABELA A - AUTOMOVEIS;AUDI;106189;AUDI R8 5.2 V10 SPORT;G;; R$ 732.492,00 ; R$ 704.912,00 ; R$ 677.830,00 ;;;;;;;;;;;
TABELA A - AUTOMOVEIS;AUDI;106151;AUDI R8 5.2 V10 GT;G;;;;; R$ 795.381,00 ; R$ 749.896,00 ;;;;;;;;;
TABELA A - AUTOMOVEIS;AUDI;106182;AUDI S8 4.0TFSI;G;;;; R$ 411.930,00 ; R$ 384.941,00 ;;;;;;;;;;
TABELA A - AUTOMOVEIS;AUDI;106183;AUDI A1 QUATTRO;G;;;; R$ 170.439,00 ; R$ 160.848,00 ;;;;;;;;;;
TABELA A - AUTOMOVEIS;AUDI;106184;AUDI RS4 AVANT 4.2FSI;G;; R$ 351.799,00 ; R$ 335.082,00 ; R$ 316.182,00 ;;;;;;;;;;;
TABELA A - AUTOMOVEIS;AUDI;106185;AUDI A6 3.0TFSI ALLR;G;;; R$ 252.272,00 ; R$ 229.357,00 ; R$ 225.101,00 ;;;;;;;;;;
TABELA A - AUTOMOVEIS;AUDI;106179;AUDI S7 4.0TFSI;G;;; R$ 328.736,00 ; R$ 314.864,00 ; R$ 311.952,00 ;;;;;;;;;;
TABELA A - AUTOMOVEIS;AUDI;106188;AUDI A3 SPB 1.8TFSI;G; R$ 113.365,00 ; R$ 96.743,00 ; R$ 85.911,00 ; R$ 83.563,00 ;;;;;;;;;;;
TABELA A - AUTOMOVEIS;AUDI;106178;AUDI S6 4.0TFSI;G;;; R$ 327.842,00 ; R$ 322.606,00 ; R$ 315.570,00 ;;;;;;;;;;
TABELA A - AUTOMOVEIS;AUDI;106192;AUDI A3 1.4TFSI;G;; R$ 81.208,00 ; R$ 73.014,00 ;;;;;;;;;;;;
TABELA A - AUTOMOVEIS;AUDI;106193;AUDI A3 SPB 1.4TFSI;G;; R$ 77.915,00 ; R$ 73.014,00 ; R$ 70.356,00 ;;;;;;;;;;;
TABELA A - AUTOMOVEIS;AUDI;106194;AUDI A6 3.0 QUATTRO PR;G;;;; R$ 179.498,00 ;;;;;;;;;;;
TABELA A - AUTOMOVEIS;AUDI;106195;AUDI S3 SPB 2.0TFSI;G;;; R$ 140.071,00 ; R$ 129.084,00 ;;;;;;;;;;;
TABELA A - AUTOMOVEIS;AUDI;106196;AUDI A5 SPB 225CV.;G;; R$ 120.643,00 ; R$ 112.125,00 ; R$ 104.210,00 ;;;;;;;;;;;
TABELA A - AUTOMOVEIS;AUDI;106197;AUDI A5 CP 225CV;G;; R$ 167.313,00 ; R$ 146.816,00 ; R$ 141.453,00 ;;;;;;;;;;;
TABELA A - AUTOMOVEIS;AUDI;106187;AUDI A3 1.8TFSI;G;; R$ 100.372,00 ; R$ 85.911,00 ; R$ 79.566,00 ;;;;;;;;;;;
TABELA A - AUTOMOVEIS;AUDI;106171;AUDI S4 AV 3.0TFSI;G;;;; R$ 259.167,00 ; R$ 247.774,00 ;;;;;;;;;;
TABELA A - AUTOMOVEIS;AUDI;106163;AUDI S5 CABRIO 3.0TFSI;G;;;; R$ 294.047,00 ; R$ 284.438,00 ;;;;;;;;;;
TABELA A - AUTOMOVEIS;AUDI;106164;AUDI A5 CABRIO 2.0TFSI;G;;;; R$ 159.570,00 ; R$ 154.232,00 ;;;;;;;;;;
TABELA A - AUTOMOVEIS;AUDI;106165;AUDI S5 SPB 3.0TFSI;G;;; R$ 244.825,00 ; R$ 236.495,00 ; R$ 214.684,00 ;;;;;;;;;;
TABELA A - AUTOMOVEIS;AUDI;106166;AUDI R8 5.2 V10 GT SPD;G;;;; R$ 874.286,00 ; R$ 816.031,00 ;;;;;;;;;;
TABELA A - AUTOMOVEIS;AUDI;106167;AUDI A7 PRESTIGE;G;;;;; R$ 166.621,00 ; R$ 146.764,00 ;;;;;;;;;
TABELA A - AUTOMOVEIS;AUDI;106168;AUDI A5 SPB 2.0TFSI AT;G;;; R$ 126.142,00 ; R$ 112.098,00 ; R$ 106.872,00 ;;;;;;;;;;
TABELA A - AUTOMOVEIS;AUDI;106180;AUDI S4 3.0T;G;;;;; R$ 230.579,00 ;;;;;;;;;;
TABELA A - AUTOMOVEIS;AUDI;106170;AUDI A4 AV 2.0TFSI;G; R$ 154.248,00 ; R$ 124.344,00 ; R$ 92.388,00 ; R$ 82.430,00 ; R$ 72.978,00 ;;;;;;;;;;
TABELA A - AUTOMOVEIS;AUDI;106120;AUDI S5 4.2 FSI;G;;;;;;;; R$ 111.240,00 ;;;;;;;
TABELA A - AUTOMOVEIS;AUDI;106172;AUDI S4 3.0TFSI;G;;; R$ 242.742,00 ; R$ 234.468,00 ; R$ 230.579,00 ;;;;;;;;;;
TABELA A - AUTOMOVEIS;AUDI;106173;AUDI A4 2.0TFSI SPO;G;;;; R$ 82.481,00 ; R$ 79.879,00 ;;;;;;;;;;
TABELA A - AUTOMOVEIS;AUDI;106174;AUDI A4 AV 2.0TFSI SPO;G;;;; R$ 86.667,00 ; R$ 76.789,00 ;;;;;;;;;;
TABELA A - AUTOMOVEIS;AUDI;106175;AUDI A1 SPB 1.4TFSI;G;; R$ 74.921,00 ; R$ 68.771,00 ; R$ 62.824,00 ; R$ 62.237,00 ;;;;;;;;;;
TABELA A - AUTOMOVEIS;AUDI;106176;AUDI A1 SPB 1.4TFSI SP;G;; R$ 87.559,00 ; R$ 78.963,00 ; R$ 67.827,00 ; R$ 65.686,00 ;;;;;;;;;;
TABELA A - AUTOMOVEIS;AUDI;106162;AUDI A5 CP 2.0TFSI;G;;;; R$ 141.453,00 ; R$ 138.181,00 ;;;;;;;;;;
TABELA A - AUTOMOVEIS;AUDI;106169;AUDI A4 2.0TFSI;G; R$ 94.909,00 ; R$ 90.477,00 ; R$ 86.252,00 ; R$ 73.398,00 ; R$ 65.763,00 ;;;;;;;;;;
TABELA A - AUTOMOVEIS;AUDI;106057;AUDI A4 CABRIOLET 3.0;G;;;;;;;;;;;;;; R$ 76.480,00 ; R$ 74.536,00 
TABELA A - AUTOMOVEIS;AUDI;106071;AUDI A4 AVANT 2.0T FSI;G;; R$ 133.862,00 ;;;;;;; R$ 52.285,00 ; R$ 45.032,00 ; R$ 44.363,00 ;;;;
TABELA A - AUTOMOVEIS;AUDI;106047;AUDI A6 ALLROAD 2.7T;G;;;;;;;;;;;;; R$ 46.113,00 ; R$ 33.803,00 ; R$ 29.654,00 
TABELA A - AUTOMOVEIS;AUDI;106049;AUDI A4 3.0;G;;;;;;;;;;; R$ 49.012,00 ; R$ 41.553,00 ; R$ 36.815,00 ; R$ 31.749,00 ; R$ 29.299,00 
TABELA A - AUTOMOVEIS;AUDI;106050;AUDI A4 2.0;G;;;;;;;;;;; R$ 31.774,00 ;;; R$ 26.470,00 ; R$ 23.104,00 
