Fabricante;Modelo;Categoria;Cód.;Combustivel;2026;2025;2024;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002
VOLKSWAGEN;GOL 1.0 TITAN GIV;TABELA A – CARROS;115783,00;G;;;;;;;;;;;;;;;R$ 18.774,00;R$ 17.701,00;R$ 15.863,00;R$ 14.585,00;;;;;;;
VOLKSWAGEN;NOVO GOL 1.6 RALLYE;TABELA A – CARROS;115797,00;G;;;;;;;;;;;;;R$ 37.099,00;R$ 31.467,00;;;;;;;;;;;
VOLKSWAGEN;PARATI GL 1.8 MI;TABELA A – CARROS;116625,00;G;;;;;;;;;;;;;;;;;;;;;;;;;R$ 17.318,00
VOLKSWAGEN;NOVO GOL 1.0 CITY;TABELA A – CARROS;115795,00;G;;;;;;;;;;;;;R$ 22.635,00;R$ 21.882,00;R$ 20.116,00;;;;;;;;;;
VOLKSWAGEN;NOVO GOL 1.6 CITY;TABELA A – CARROS;115794,00;G;;;;;;;;;;;;;R$ 26.734,00;R$ 24.623,00;R$ 23.612,00;;;;;;;;;;
VOLKSWAGEN;VOLKSWAGEN SCIRROCO R;TABELA A – CARROS;115793,00;G;;;;;;;;;;;;;;R$ 55.650,00;R$ 52.518,00;;;;;;;;;;
VOLKSWAGEN;GOL 1.6 POWER;TABELA A – CARROS;115792,00;G;;;;;;;;;;;;;;R$ 28.396,00;R$ 26.147,00;;;;;;;;;;
VOLKSWAGEN;NOVO GOL 1.6;TABELA A – CARROS;115791,00;G;;;;;;;;;;;;;R$ 30.605,00;R$ 26.357,00;R$ 23.374,00;;;;;;;;;;
VOLKSWAGEN;NOVO GOL 1.0;TABELA A – CARROS;115790,00;G;;;;;;;;;;;;;R$ 25.541,00;R$ 23.121,00;R$ 21.045,00;;;;;;;;;;
VOLKSWAGEN;GOL ROCK IN RIO;TABELA A – CARROS;115789,00;G;;;;;;;;;;;;;;;R$ 24.992,00;R$ 24.263,00;;;;;;;;;
VOLKSWAGEN;GOL VINTAGE;TABELA A – CARROS;115787,00;G;;;;;;;;;;;;;;;;;R$ 30.933,00;;;;;;;;
VOLKSWAGEN;NOVO GOL 1.6 HIGHLINE;TABELA A – CARROS;115798,00;G;;;;;;;;;;;;;R$ 33.373,00;R$ 30.316,00;;;;;;;;;;;
VOLKSWAGEN;VOYAGE CITY MB S;TABELA A – CARROS;117778,00;G;;;;;;;;;;;;R$ 32.082,00;R$ 30.936,00;;;;;;;;;;;;
VOLKSWAGEN;NOVO VOYAGE CL MCV;TABELA A – CARROS;117790,00;G;;;;;;;;;;;R$ 42.472,00;;;;;;;;;;;;;;
VOLKSWAGEN;NOVO FOX TRACK ME;TABELA A – CARROS;117789,00;G;;;;;;;;;;;R$ 39.871,00;R$ 37.535,00;;;;;;;;;;;;;
VOLKSWAGEN;NOVO FOX TL ME;TABELA A – CARROS;117788,00;G;;;;;;;;;;;R$ 35.788,00;R$ 33.692,00;;;;;;;;;;;;;
VOLKSWAGEN;NOVO FOX CL ME;TABELA A – CARROS;117787,00;G;;;;;;;;;;;R$ 39.006,00;R$ 36.721,00;;;;;;;;;;;;;
VOLKSWAGEN;VW LAVIDA;TABELA A – CARROS;117783,00;G;;;;;;;;;;;;;;;;;;;R$ 31.683,00;;;;;;
VOLKSWAGEN;VOYAGE CITY MA S;TABELA A – CARROS;117782,00;G;;;;;;;;;;;;R$ 29.537,00;R$ 27.851,00;;;;;;;;;;;;
VOLKSWAGEN;VOYAGE TL MB S;TABELA A – CARROS;117781,00;G;;;;;;;;;;;;R$ 36.550,00;R$ 34.464,00;;;;;;;;;;;;
VOLKSWAGEN;SANTANA CL 1800;TABELA A – CARROS;117020,00;G;;;;;;;;;;;;;;;;;;;;;;;R$ 13.835,00;R$ 13.465,00;R$ 12.579,00
VOLKSWAGEN;VOYAGE HL MB S;TABELA A – CARROS;117779,00;G;;;;;;;;;;;;R$ 39.827,00;R$ 36.532,00;;;;;;;;;;;;
VOLKSWAGEN;NOVO VOYAGE CL SBV;TABELA A – CARROS;117794,00;G;;;;;;;;;;;R$ 43.407,00;;;;;;;;;;;;;;
VOLKSWAGEN;VOYAGE HL SB S;TABELA A – CARROS;117777,00;G;;;;;;;;;;;;R$ 40.435,00;R$ 38.445,00;;;;;;;;;;;;
VOLKSWAGEN;NOVO FOX PEPPER SD;TABELA A – CARROS;117776,00;G;;;;;;;;;;;R$ 48.729,00;R$ 44.850,00;R$ 41.835,00;;;;;;;;;;;;
VOLKSWAGEN;NOVO FOX PEPPER MD;TABELA A – CARROS;117775,00;G;;;;;;;;;;;R$ 47.206,00;R$ 44.360,00;R$ 40.881,00;;;;;;;;;;;;
VOLKSWAGEN;NOVO FOX BM MC;TABELA A – CARROS;117774,00;G;;;;;;;;;;;R$ 37.966,00;R$ 35.327,00;R$ 31.200,00;;;;;;;;;;;;
VOLKSWAGEN;NOVO FOX CL MA;TABELA A – CARROS;117773,00;G;;;;;;;;;;;;R$ 35.563,00;R$ 33.531,00;;;;;;;;;;;;
VOLKSWAGEN;NOVO FOX TL MA;TABELA A – CARROS;117772,00;G;;;;;;;;;;;;R$ 34.469,00;R$ 32.501,00;;;;;;;;;;;;
VOLKSWAGEN;NOVO FOX CL SB;TABELA A – CARROS;117771,00;G;;;;;;;;;;;R$ 45.105,00;R$ 41.404,00;R$ 39.801,00;;;;;;;;;;;;
VOLKSWAGEN;NOVO FOX TL SB;TABELA A – CARROS;117770,00;G;;;;;;;;;;;;;R$ 34.718,00;;;;;;;;;;;;
VOLKSWAGEN;VOYAGE TL MA S;TABELA A – CARROS;117780,00;G;;;;;;;;;;;;R$ 37.967,00;R$ 35.799,00;;;;;;;;;;;;
VOLKSWAGEN;VW FUSCA 2.0T;TABELA A – CARROS;117918,00;G;;;;;;;;;;;;;;R$ 72.964,00;R$ 70.662,00;;;;;;;;;;
VOLKSWAGEN;FIBRAVAN KAUIPE;TABELA A – CARROS;141301,00;G;;;;;;;;;;;;;;;;R$ 23.539,00;R$ 21.437,00;;;;;;;;
VOLKSWAGEN;SANTINA;TABELA A – CARROS;131699,00;G;;;;;;;;;;;;;;;;;;;;;;R$ 7.036,00;R$ 6.778,00;R$ 6.267,00;R$ 5.952,00
VOLKSWAGEN;POLAUTO;TABELA A – CARROS;126699,00;G;;;;;;;;;;;;;;;;;;;;;;;;;R$ 6.043,00
VOLKSWAGEN;BUGRE;TABELA A – CARROS;118299,00;G;;;;;;;;;;;;;;;;;;;;;;;;R$ 6.761,00;
VOLKSWAGEN;FUSCA;TABELA A – CARROS;117999,00;G;;;;;;;;;;;;;;;;R$ 59.481,00;;;;;;;;;
VOLKSWAGEN;VW FUSCA AC;TABELA A – CARROS;117924,00;G;;;;;;;;;;;;R$ 92.425,00;;;;;;;;;;;;;
VOLKSWAGEN;VW TOURAN 2.0;TABELA A – CARROS;117923,00;D;;;;;;;;;;;;;;;;;;;;R$ 71.857,00;;;;;
VOLKSWAGEN;VW FUSCA AB;TABELA A – CARROS;117922,00;G;;;;;;;;;;;;R$ 86.110,00;R$ 81.195,00;;;;;;;;;;;;
VOLKSWAGEN;NOVO VOYAGE TL MCV;TABELA A – CARROS;117791,00;G;;;;;;;;;;;R$ 34.430,00;;;;;;;;;;;;;;
VOLKSWAGEN;VW FUSCA AA;TABELA A – CARROS;117919,00;G;;;;;;;;;;;;;R$ 82.731,00;R$ 74.831,00;;;;;;;;;;;
VOLKSWAGEN;NOVO VOYAGE TL MBV;TABELA A – CARROS;117793,00;G;;;;;;;;;;;R$ 37.070,00;;;;;;;;;;;;;;
VOLKSWAGEN;VW FUSCA ULTIMAEDICION;TABELA A – CARROS;117912,00;G;;;;;;;;;;;;;;;;;;;;;;;;R$ 14.333,00;
VOLKSWAGEN;VW BEETLE TURBO LA EDT;TABELA A – CARROS;117801,00;G;;;;;;;;;;;;;;R$ 70.234,00;R$ 66.282,00;;;;;;;;;;
VOLKSWAGEN;VOYAGE;TABELA A – CARROS;117799,00;G;;;;;;;;;;;;;;;;;R$ 16.359,00;R$ 13.541,00;;;;;;;
VOLKSWAGEN;NOVO VOYAGE HL SBV;TABELA A – CARROS;117798,00;G;;;;;;;;;;;R$ 42.874,00;;;;;;;;;;;;;;
VOLKSWAGEN;NOVO VOYAGE CL SBP;TABELA A – CARROS;117797,00;G;;;;;;;;;;;R$ 43.407,00;;;;;;;;;;;;;;
VOLKSWAGEN;NOVO VOYAGE HL MBV;TABELA A – CARROS;117796,00;G;;;;;;;;;;;R$ 41.932,00;;;;;;;;;;;;;;
VOLKSWAGEN;NOVO VOYAGE CL MBV;TABELA A – CARROS;117795,00;G;;;;;;;;;;;R$ 42.770,00;;;;;;;;;;;;;;
VOLKSWAGEN;NOVO FOX HL SD;TABELA A – CARROS;117767,00;G;;;;;;;;;;;R$ 45.515,00;R$ 43.703,00;R$ 42.819,00;;;;;;;;;;;;
VOLKSWAGEN;VW FUSCA MA;TABELA A – CARROS;117920,00;G;;;;;;;;;;;;;R$ 81.304,00;R$ 73.418,00;;;;;;;;;;;
VOLKSWAGEN;VOYAGE 1.0;TABELA A – CARROS;117718,00;G;;;;;;;;;;;;;;R$ 25.393,00;R$ 24.304,00;R$ 22.956,00;R$ 21.136,00;R$ 20.031,00;R$ 19.437,00;;;;;;
VOLKSWAGEN;NOVO FOX CL MB;TABELA A – CARROS;117769,00;G;;;;;;;;;;;R$ 39.608,00;R$ 38.849,00;R$ 38.560,00;;;;;;;;;;;;
VOLKSWAGEN;NOVO VOYAGE 1.0 CITY;TABELA A – CARROS;117745,00;G;;;;;;;;;;;;;R$ 26.582,00;R$ 24.414,00;R$ 21.893,00;;;;;;;;;;
VOLKSWAGEN;NOVO VOYAGE 1.6 COMF.;TABELA A – CARROS;117744,00;G;;;;;;;;;;;;;;R$ 31.729,00;R$ 28.913,00;;;;;;;;;;
VOLKSWAGEN;NOVO VOYAGE 1.6;TABELA A – CARROS;117743,00;G;;;;;;;;;;;;;R$ 28.810,00;R$ 26.732,00;R$ 24.600,00;;;;;;;;;;
VOLKSWAGEN;NOVO VOYAGE 1.0;TABELA A – CARROS;117742,00;G;;;;;;;;;;;;;R$ 28.158,00;R$ 25.854,00;R$ 23.636,00;;;;;;;;;;
VOLKSWAGEN;VOYAGE 1.6 TREND;TABELA A – CARROS;117732,00;G;;;;;;;;;;;;;;;R$ 26.804,00;R$ 25.091,00;R$ 23.486,00;R$ 22.693,00;R$ 21.392,00;;;;;;
VOLKSWAGEN;LUNA 1.0;TABELA A – CARROS;117723,00;G;;;;;;;;;;;;;;R$ 66.790,00;R$ 61.346,00;;;;;;;;;;
VOLKSWAGEN;LUNA 1.6;TABELA A – CARROS;117722,00;G;;;;;;;;;;;;;;R$ 73.390,00;R$ 68.742,00;;;;;;;;;;
VOLKSWAGEN;NOVO VOYAGE 1.6 HIGH;TABELA A – CARROS;117747,00;G;;;;;;;;;;;;;R$ 36.563,00;R$ 32.380,00;;;;;;;;;;;
VOLKSWAGEN;VOYAGE 1.6 COMFORTL;TABELA A – CARROS;117719,00;G;;;;;;;;;;;;;;R$ 30.527,00;R$ 28.211,00;R$ 26.071,00;R$ 23.762,00;R$ 22.036,00;R$ 21.521,00;;;;;;
VOLKSWAGEN;VOYAGE 1.0 SELECAO;TABELA A – CARROS;117748,00;G;;;;;;;;;;;;;R$ 31.911,00;R$ 27.817,00;;;;;;;;;;;
VOLKSWAGEN;VOYAGE C;TABELA A – CARROS;117710,00;G;;;;;;;;;;;;;;;;;;R$ 13.554,00;;;;;;;
VOLKSWAGEN;SANTANA;TABELA A – CARROS;117099,00;G;;;;;;;;;;;;;;;;;;;;;;;R$ 14.730,00;;
VOLKSWAGEN;SANTANA COMFORTLINE;TABELA A – CARROS;117037,00;G;;;;;;;;;;;;;;;;;;;;;R$ 19.361,00;R$ 17.068,00;;;
VOLKSWAGEN;SANTANA 2.0 COMFORT;TABELA A – CARROS;117036,00;G;;;;;;;;;;;;;;;;;;;;;;R$ 16.182,00;;;
VOLKSWAGEN;SANTANA CELA 2.0;TABELA A – CARROS;117034,00;G;;;;;;;;;;;;;;;;;;;;;;;;R$ 14.272,00;
